Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name,clean_text
20771604,Electrical,Street Light Not Working,2025-06-19 09:00:00.000000000,Banaswadi,Registered,1st Assignment Based on Ward Mapping,Vinay Kumar/AE,street light working
20771603,Electrical,Street Light Not Working,2025-06-19 08:59:00.000000000,Jagajeevanram Nagar,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE,street light working
20771602,Electrical,Street Light Not Working,2025-06-19 08:58:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE,street light working
20771601,Electrical,Street Light Not Working,2025-06-19 08:58:00.000000000,Vishwanathnagenahalli,Registered,1st Assignment Based on Ward Mapping,Anand/AE,street light working
20771600,Electrical,Street Light Not Working,2025-06-19 08:57:00.000000000,Yelachenahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE,street light working
20771599,Electrical,Street Light Not Working,2025-06-19 08:56:00.000000000,Arakere,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE,street light working
20771598,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 08:56:00.000000000,Hoysala Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 80/Marshal,garbage dump
20771597,Electrical,Street Light Not Working,2025-06-19 08:54:00.000000000,Hombegowda Nagar,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE,street light working
20771596,Electrical,Street Light Not Working,2025-06-19 08:54:00.000000000,HBR Layout,Registered,1st Assignment Based on Ward Mapping,Vinay Kumar/AE,street light working
20771595,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 08:52:00.000000000,Benniganahalli,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 50/Marshal,garbage dump
20771594,Road Maintenance(Engg),Road cutting,2025-06-19 08:51:00.000000000,Banashankari Temple Ward,Registered,1st Assignment Based on Ward Mapping,AE Ward 180/AE,road cutting
20771593,Road Maintenance(Engg),water stagnation,2025-06-19 08:50:00.000000000,Lakkasandra,Registered,1st Assignment Based on Ward Mapping,AE Ward 146/AE,water stagnation
20771592,Electrical,Requirement For New Street Lights,2025-06-19 08:49:00.000000000,Herohalli,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE,requirement new street light
20771591,Electrical,Street Light Not Working,2025-06-19 08:49:00.000000000,Gandhi Nagar,Registered,1st Assignment Based on Ward Mapping,syed zameer/JE,street light working
20771590,Electrical,Requirement For New Street Lights,2025-06-19 08:48:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,requirement new street light
20771589,Electrical,Street Light Not Working,2025-06-19 08:47:00.000000000,Jakkur,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771588,Road Maintenance(Engg),Road side drains,2025-06-19 08:47:00.000000000,Sarvagna Nagar,Registered,1st Assignment Based on Ward Mapping,Shankarappa/AE,road side drain
20771587,Electrical,Street Light Not Working,2025-06-19 08:47:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771586,Electrical,Street Light Not Working,2025-06-19 08:45:00.000000000,Ganeshmandira Ward,Registered,1st Assignment Based on Ward Mapping,Umesh/AE,street light working
20771585,Advertisement,Flex and banners,2025-06-19 08:44:00.000000000,Arakere,Registered,1st Assignment Based on Ward Mapping,Shabana/ARO,flex banner
20771584,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 08:43:00.000000000,Kadugodi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 83/Marshal,garbage dumping vacant site
20771583,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 08:42:00.000000000,Dodda Bidarkallu,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 40/Marshal,garbage vehicle arrived
20771582,Electrical,Street Light Not Working,2025-06-19 08:40:00.000000000,Kuvempu Nagar,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771581,Electrical,Street Light Not Working,2025-06-19 08:35:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771580,Electrical,Street Light Not Working,2025-06-19 08:34:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771579,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 08:34:00.000000000,Kadugodi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 83/Marshal,garbage dumping vacant site
20771578,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 08:33:00.000000000,Hoodi,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 54/Marshal,garbage vehicle arrived
20771577,Electrical,Street Light Not Working,2025-06-19 08:32:00.000000000,Nandini Layout,Registered,1st Assignment Based on Ward Mapping,Jameel/AE,street light working
20771576,Forest,obstructions Branches / Trees.,2025-06-19 08:30:00.000000000,Nagarabhavi,Registered,1st Assignment Based on Ward Mapping,sudarshan/DYRFO,obstruction branch tree
20771575,veterinary,Collect the food available to feed dogs,2025-06-19 08:30:00.000000000,Basavanagudi,Registered,1st Assignment Based on Ward Mapping,Hanumantha raju/VI,collect food available feed dog
20771574,Electrical,Park Lights Not Working,2025-06-19 08:30:00.000000000,Hampi Nagar,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE,park light working
20771573,Electrical,Street Light Not Working,2025-06-19 08:29:00.000000000,Sanjay Nagar,Registered,1st Assignment Based on Ward Mapping,Anand/AE,street light working
20771572,Electrical,Street Light Not Working,2025-06-19 08:28:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771571,Storm  Water Drain(SWD),Maintenance of SWD,2025-06-19 08:27:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Sushmashri.S/AE,maintenance swd
20771570,Electrical,Street Light Not Working,2025-06-19 08:27:00.000000000,Someshwara,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771569,Forest,obstructions Branches / Trees.,2025-06-19 08:26:00.000000000,Anjanapur,Registered,1st Assignment Based on Ward Mapping,Narendra Babu/RFO,obstruction branch tree
20771568,Electrical,Street Light Not Working,2025-06-19 08:26:00.000000000,Peenya Industrial Area,Registered,1st Assignment Based on Ward Mapping,H S Manjappa/AE,street light working
20771567,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 08:25:00.000000000,Anjanapur,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 196/Marshal,garbage dump
20771566,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 08:25:00.000000000,Ramamurthy Nagar,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 26/Marshal,garbage vehicle arrived
20771565,veterinary,Stray dog related complaints,2025-06-19 08:25:00.000000000,J.P.Nagar,Registered,1st Assignment Based on Ward Mapping,Vijaya laxmi/VI,stray dog related complaint
20771564,Electrical,Street Light Not Working,2025-06-19 08:25:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE,street light working
20771563,Electrical,Street Light Not Working,2025-06-19 08:22:00.000000000,Horamavu,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE,street light working
20771562,Electrical,Street Light Not Working,2025-06-19 08:22:00.000000000,K.R.Puram,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE,street light working
